,ModelName,IsPretrained,Purpose,ImagesCount,"DiceAccuracy(threshold=0.5,smoothing=1) median","DiceAccuracy(threshold=0.5,smoothing=1) mean","DiceAccuracy(threshold=0.5,smoothing=1) std","DiceAccuracy(threshold=0.5,smoothing=1) count",DiceLoss(smoothing=1) median,DiceLoss(smoothing=1) mean,DiceLoss(smoothing=1) std,DiceLoss(smoothing=1) count
21,AttDs,pretrained,train,1408,0.0771341882646083,0.1745653741061687,0.2426861750927553,20,0.2875155210494995,0.3220322020351887,0.19465422571491717,20
22,AttDs,pretrained,train,1472,0.0736330226063728,0.1717368826270103,0.24470017128653798,20,0.24408491700887675,0.3037291500717401,0.20515162494794353,20
23,AttDs,pretrained,train,1536,0.07221528887748715,0.17138197533786292,0.24245881621310805,20,0.20156652480363846,0.2882166378200054,0.20430215945098415,20
24,AttDs,pretrained,train,1600,0.0719034634530544,0.17070313747972246,0.24397402378414276,20,0.16864888370037073,0.27663412243127816,0.21115727192316666,20
25,AttDs,pretrained,train,1631,0.07312693819403646,0.17105766404420134,0.2426419608605866,20,0.1470035463571548,0.27515681274235243,0.21797757376800642,20
26,AttDs,pretrained,train,1663,0.07125855609774585,0.16954945288598536,0.2411929753993601,20,0.13534802198410034,0.2676198586821556,0.21253777711704588,20
27,AttDs,pretrained,train,1727,0.07221267744898795,0.1675539374351501,0.2422909694678535,20,0.11977004632353774,0.2650736194103956,0.21950954500754813,20
28,AttDs,pretrained,train,1791,0.0682001672685146,0.17004788331687445,0.24733590755976775,20,0.10666177049279205,0.2627820163965225,0.2221529745680751,20
29,AttDs,pretrained,train,1855,0.06496566161513326,0.16571872700005766,0.24348820745545197,20,0.09814247116446495,0.25553974322974676,0.22016800066038386,20
30,AttDs,pretrained,train,1919,0.06607836857438085,0.16355382520705458,0.24065119377683605,20,0.09323148801922795,0.2529210813343525,0.21944846633061235,20
31,AttDs,pretrained,train,1983,0.06363802775740621,0.16460386198014018,0.2478649106931195,20,0.090095330029726,0.25279246233403685,0.22413222223056095,20
32,AttDs,pretrained,train,2047,0.0618977770209312,0.14091468378901478,0.21158206987629077,20,0.08324572071433059,0.24791302606463428,0.22472016012053386,20
33,AttDs,pretrained,train,2111,0.060891954228281905,0.12893490120768542,0.2072857571736792,20,0.07965495064854615,0.24854430370032782,0.22724485512603015,20
34,AttDs,pretrained,train,2175,0.0618944205343723,0.12874503079801797,0.20660036742732618,20,0.07867043092846865,0.24719753116369242,0.2226029644402977,20
35,AttDs,pretrained,train,2239,0.059797022491693455,0.1273785967379808,0.20796097003280017,20,0.0755164586007595,0.24428804386407132,0.22422335790508371,20
36,AttDs,pretrained,train,2303,0.058975527063012095,0.12346426919102667,0.1989543397441584,20,0.0769281275570392,0.2460337437689304,0.2281143781938827,20
37,AttDs,pretrained,train,2367,0.05746044777333735,0.09429410696029658,0.15059063294146982,20,0.0709747448563575,0.24291723500937218,0.2271755960031103,20
38,AttDs,pretrained,train,2431,0.0554582048207521,0.09155838321894402,0.15397136657245783,20,0.0692746266722679,0.23958398886024948,0.22607795153074245,20
39,AttDs,pretrained,train,2495,0.05502345412969585,0.09196988958865401,0.15042273100887568,20,0.0750876143574714,0.24072025213390585,0.22575891273790125,20
40,AttDs,pretrained,train,2559,0.0546813607215881,0.09092746824026103,0.15066144057031236,20,0.0658861584961414,0.23901157714426513,0.22577448149464485,20
41,AttDs,pretrained,train,2623,0.05426207371056075,0.08944229818880553,0.15169760425785744,20,0.07018224149942395,0.23756731785833832,0.2257933342234498,20
42,AttDs,pretrained,train,2687,0.054883729666471454,0.09044634457677597,0.15406340504551835,20,0.0649393238127231,0.23822640050202604,0.22575941856621315,20
43,AttDs,pretrained,train,2751,0.0546153560280799,0.0889137124642729,0.15141346616728332,20,0.0684326328337192,0.23796211611479517,0.22579121274890734,20
44,AttDs,pretrained,train,2815,0.0513871721923351,0.08817760981619355,0.15246021424969528,20,0.0673509910702705,0.23696819506585592,0.22794917165435669,20
45,AttDs,pretrained,train,2879,0.0539207067340612,0.08907928224653,0.1525766082509853,20,0.06562520563602445,0.2365263974294066,0.2257580209833001,20
