,ImagesCount,ModelName,IsPretrained,Purpose,TrialNumber,"DiceAccuracy(threshold=0.5,smoothing=1)",DiceLoss(smoothing=1)
16871,4542,DenseNet,non-pretrained,train,01,0.9322992414236069,0.3418924808502197
16872,4606,DenseNet,non-pretrained,train,01,0.936130277812481,0.3389214873313904
16873,4670,DenseNet,non-pretrained,train,01,0.9288498908281327,0.3434920608997345
16874,4734,DenseNet,non-pretrained,train,01,0.9347089603543282,0.3402761816978454
16875,4798,DenseNet,non-pretrained,train,01,0.9253823980689049,0.3455368876457214
16876,4862,DenseNet,non-pretrained,train,01,0.9257084354758263,0.345286101102829
16877,4893,DenseNet,non-pretrained,train,01,0.9369066134095192,0.3372313678264618
16878,4925,DenseNet,non-pretrained,train,01,0.9316230416297913,0.3397151827812195
16879,4989,DenseNet,non-pretrained,train,01,0.9318760856986046,0.3405058979988098
16880,5053,DenseNet,non-pretrained,train,01,0.9396270886063576,0.3354790210723877
16881,5117,DenseNet,non-pretrained,train,01,0.9330951422452927,0.3395906090736389
16882,5181,DenseNet,non-pretrained,train,01,0.9207408130168915,0.3446504175662994
16883,5245,DenseNet,non-pretrained,train,01,0.9297241494059563,0.3397154808044433
16884,5309,DenseNet,non-pretrained,train,01,0.9359272420406342,0.3390675783157348
16885,5373,DenseNet,non-pretrained,train,01,0.9334951490163804,0.3376730680465698
16886,5437,DenseNet,non-pretrained,train,01,0.9257416501641273,0.3416641056537628
16887,5501,DenseNet,non-pretrained,train,01,0.9296739101409913,0.3394384682178497
16888,5565,DenseNet,non-pretrained,train,01,0.9343885928392411,0.3366777002811432
16889,5629,DenseNet,non-pretrained,train,01,0.9361573085188866,0.3374445140361786
16890,5693,DenseNet,non-pretrained,train,01,0.9339501559734344,0.3362286686897278
16891,5757,DenseNet,non-pretrained,train,01,0.93489508330822,0.336130142211914
16892,5821,DenseNet,non-pretrained,train,01,0.9311008900403976,0.3372004628181457
16893,5885,DenseNet,non-pretrained,train,01,0.9343930631875992,0.3360715806484222
16894,5949,DenseNet,non-pretrained,train,01,0.9355622380971909,0.3344122469425201
16895,6013,DenseNet,non-pretrained,train,01,0.9344216138124466,0.3347724974155426
16896,6077,DenseNet,non-pretrained,train,01,0.9357929080724717,0.3351837992668152
16897,6141,DenseNet,non-pretrained,train,01,0.9340201988816262,0.335536926984787
16898,6205,DenseNet,non-pretrained,train,01,0.9322247728705407,0.3354866802692413
16899,6269,DenseNet,non-pretrained,train,01,0.9332436621189117,0.3359303474426269
16900,6333,DenseNet,non-pretrained,train,01,0.9378969967365265,0.3322697877883911
16901,6397,DenseNet,non-pretrained,train,01,0.9352045878767968,0.3336860537528991
16902,6461,DenseNet,non-pretrained,train,01,0.9308222085237503,0.3369624018669128
16903,6524,DenseNet,non-pretrained,train,01,0.9372972398996354,0.3320707082748413
16904,6588,DenseNet,non-pretrained,train,01,0.9418030865490437,0.3295498490333557
16905,6652,DenseNet,non-pretrained,train,01,0.9368440806865693,0.3317969739437103
16906,6716,DenseNet,non-pretrained,train,01,0.9422547519207001,0.329023003578186
16907,6780,DenseNet,non-pretrained,train,01,0.9316849485039711,0.335124522447586
16908,6844,DenseNet,non-pretrained,train,01,0.9399708062410355,0.3295778334140777
16909,6908,DenseNet,non-pretrained,train,01,0.9402497150003911,0.3290986120700836
16910,6972,DenseNet,non-pretrained,train,01,0.9402748234570028,0.3298358917236328
16911,7036,DenseNet,non-pretrained,train,01,0.9431369751691819,0.3273389637470245
16912,7100,DenseNet,non-pretrained,train,01,0.9375869780778885,0.3296985030174255
16913,7164,DenseNet,non-pretrained,train,01,0.9416828565299511,0.3287958204746246
16914,7228,DenseNet,non-pretrained,train,01,0.9415385648608208,0.3290613889694214
16915,7292,DenseNet,non-pretrained,train,01,0.939155362546444,0.3299021124839782
16916,7356,DenseNet,non-pretrained,train,01,0.9424167945981026,0.3266648948192596
16917,7420,DenseNet,non-pretrained,train,01,0.9345711097121239,0.331804484128952
16918,7484,DenseNet,non-pretrained,train,01,0.9289508759975434,0.3342486917972564
16919,7548,DenseNet,non-pretrained,train,01,0.9410751760005951,0.329833060503006
16920,7612,DenseNet,non-pretrained,train,01,0.937796674668789,0.3289824724197387
16921,7676,DenseNet,non-pretrained,train,01,0.9332192242145539,0.332621157169342
16922,7740,DenseNet,non-pretrained,train,01,0.9385825246572495,0.3294262290000915
16923,7804,DenseNet,non-pretrained,train,01,0.946089580655098,0.3243016898632049
16924,7868,DenseNet,non-pretrained,train,01,0.9439499005675316,0.3252741992473602
16925,7932,DenseNet,non-pretrained,train,01,0.9375964216887951,0.3296412825584411
16926,7996,DenseNet,non-pretrained,train,01,0.9398410916328431,0.3279116451740265
16927,8060,DenseNet,non-pretrained,train,01,0.9367825761437417,0.3292109370231628
16928,8124,DenseNet,non-pretrained,train,01,0.9347395449876786,0.3304129838943481
16929,8155,DenseNet,non-pretrained,train,01,0.9426994994282722,0.3262874782085418
16930,8187,DenseNet,non-pretrained,train,01,0.9494581744074821,0.3222063183784485
16931,8251,DenseNet,non-pretrained,train,01,0.9426450356841088,0.3261499106884002
16932,8315,DenseNet,non-pretrained,train,01,0.9393580481410027,0.3290139138698578
16933,8379,DenseNet,non-pretrained,train,01,0.9474833644926548,0.3227664828300476
16934,8443,DenseNet,non-pretrained,train,01,0.9321441575884819,0.3306367993354797
16935,8507,DenseNet,non-pretrained,train,01,0.9361477568745614,0.3281015753746032
16936,8571,DenseNet,non-pretrained,train,01,0.9377157613635064,0.3289274275302887
16937,8635,DenseNet,non-pretrained,train,01,0.941094309091568,0.3265466094017029
16938,8699,DenseNet,non-pretrained,train,01,0.9461379945278168,0.3228794932365417
16939,8763,DenseNet,non-pretrained,train,01,0.940923996269703,0.325892299413681
16940,8827,DenseNet,non-pretrained,train,01,0.9411820061504841,0.3266133964061737
