,ImagesCount,ModelName,IsPretrained,Purpose,TrialNumber,"DiceAccuracy(threshold=0.5,smoothing=1)",DiceLoss(smoothing=1)
52,3326,AttDs,pretrained,train,01,0.941268626600504,0.5507216453552246
53,3390,AttDs,pretrained,train,01,0.9369838535785675,0.5559775233268738
54,3454,AttDs,pretrained,train,01,0.9523003250360489,0.5299381613731384
55,3518,AttDs,pretrained,train,01,0.95084847509861,0.5312195420265198
56,3582,AttDs,pretrained,train,01,0.9525192342698575,0.5271492004394531
57,3646,AttDs,pretrained,train,01,0.9511635825037957,0.5249471068382263
58,3710,AttDs,pretrained,train,01,0.9518182240426541,0.5242649912834167
59,3774,AttDs,pretrained,train,01,0.9443579986691475,0.5264278054237366
60,3838,AttDs,pretrained,train,01,0.9538587033748627,0.5340847969055176
61,3902,AttDs,pretrained,train,01,0.9532092921435833,0.5143869519233704
62,3966,AttDs,pretrained,train,01,0.947619516402483,0.5281052589416504
63,4030,AttDs,pretrained,train,01,0.9541735202074051,0.5101919174194336
64,4094,AttDs,pretrained,train,01,0.9481179267168046,0.5155751705169678
65,4158,AttDs,pretrained,train,01,0.9488792233169079,0.5339789986610413
66,4222,AttDs,pretrained,train,01,0.9458154365420341,0.5379152894020081
67,4286,AttDs,pretrained,train,01,0.9515547938644886,0.509192943572998
68,4350,AttDs,pretrained,train,01,0.9532923847436905,0.5124077200889587
69,4414,AttDs,pretrained,train,01,0.9493307396769524,0.5321345329284668
70,4478,AttDs,pretrained,train,01,0.9556816779077054,0.5187373757362366
71,4542,AttDs,pretrained,train,01,0.9535897932946682,0.5138512253761292
72,4606,AttDs,pretrained,train,01,0.957365207374096,0.5097517967224121
73,4670,AttDs,pretrained,train,01,0.9497816264629364,0.5312892198562622
74,4734,AttDs,pretrained,train,01,0.9551144652068615,0.5386693477630615
75,4798,AttDs,pretrained,train,01,0.9523734450340271,0.5299336314201355
76,4862,AttDs,pretrained,train,01,0.9479035772383214,0.5371180176734924
